1,1132016-234049,1,41116,4404900,39.16,-86.53,10,83,218.40,0.11,207,29.44,330.55,NNW
2,1132016-234115,1,41116,4411500,39.16,-86.53,10,83,219.50,0.05,18,30.30,332.87,NNW
3,1132016-234141,1,41116,4414100,39.16,-86.53,9,95,220.00,0.07,25,27.14,331.00,NNW
4,1132016-23427,1,41116,4420700,39.16,-86.53,9,95,220.00,0.08,195,26.83,332.23,NNW
5,1132016-234233,1,41116,4423300,39.16,-86.53,9,95,220.10,0.09,136,27.80,336.28,NNW
6,1132016-234259,1,41116,4425900,39.16,-86.53,9,95,220.10,0.07,316,26.70,333.67,NNW
7,1132016-234325,1,41116,4432500,39.17,-86.53,9,95,220.50,0.12,293,24.05,326.83,NNW
8,1132016-234351,1,41116,4435100,39.17,-86.53,9,95,220.50,0.01,124,22.54,328.31,NNW
9,1132016-234417,1,41116,4441700,39.17,-86.53,10,83,220.80,0.06,337,18.56,322.95,NW
10,1132016-234443,1,41116,4444300,39.17,-86.53,9,95,220.70,0.10,151,19.80,325.60,NW
11,1132016-23459,1,41116,4450900,39.17,-86.53,9,107,220.80,0.14,13,19.48,324.97,NW
12,1132016-234535,1,41116,4453500,39.17,-86.53,9,95,220.80,0.02,7,18.33,324.95,NW
13,1132016-23461,1,41116,4460100,39.17,-86.53,9,95,220.80,0.03,198,19.02,323.98,NW
14,1132016-234628,1,41116,4462700,39.17,-86.53,10,83,220.80,0.12,333,18.09,319.11,NW
15,1132016-234654,1,41116,4465300,39.17,-86.53,9,96,220.90,0.07,172,17.38,317.06,NW
16,1132016-234720,1,41116,4471900,39.17,-86.53,9,96,221.30,0.13,42,19.11,321.72,NW
17,1132016-234746,1,41116,4474500,39.17,-86.53,9,96,221.50,0.07,272,19.80,325.60,NW
18,1132016-234812,1,41116,4481100,39.17,-86.53,9,88,221.00,0.02,78,20.73,331.57,NNW
19,1132016-234838,1,41116,4483700,39.17,-86.53,10,83,221.20,0.13,30,18.28,327.32,NNW
20,1132016-23494,1,41116,4490400,39.17,-86.53,10,83,221.20,0.06,122,18.11,321.86,NW
21,1132016-234930,1,41116,4492900,39.17,-86.53,10,83,221.30,0.11,83,19.57,322.75,NW
22,1132016-234956,1,41116,4495600,39.17,-86.53,10,83,222.00,0.08,307,19.31,314.30,NW
23,1132016-235022,1,41116,4502200,39.17,-86.53,10,83,222.40,0.01,230,18.09,319.11,NW
24,1132016-235048,1,41116,4504800,39.17,-86.53,10,83,222.40,0.05,345,15.97,315.53,NW
25,1132016-235114,1,41116,4511400,39.17,-86.53,10,83,222.40,0.14,186,15.95,321.79,NW
26,1132016-235140,1,41116,4514000,39.17,-86.53,9,97,222.50,0.08,55,15.97,315.53,NW
27,1132016-23526,1,41116,4520600,39.17,-86.53,10,83,222.50,0.09,91,17.96,306.31,NW
28,1132016-235232,1,41116,4523200,39.17,-86.53,10,83,222.50,0.15,158,18.39,304.62,NW
29,1132016-235259,1,41116,4525800,39.17,-86.53,9,90,222.50,0.06,335,18.19,307.27,NW
30,1132016-235325,1,41116,4532400,39.17,-86.53,9,90,222.70,0.03,164,17.70,315.08,NW
31,1132016-235351,1,41116,4535000,39.17,-86.53,10,83,222.70,0.23,122,17.38,317.06,NW
32,1132016-235417,1,41116,4541600,39.17,-86.53,10,83,223.00,0.09,99,15.30,331.78,NNW
33,1132016-235443,1,41116,4544200,39.17,-86.53,9,88,223.20,0.45,299,14.49,333.00,NNW
34,1132016-23559,1,41116,4550800,39.17,-86.53,8,95,223.80,0.09,70,15.47,306.10,NW
35,1132016-235535,1,41116,4553400,39.17,-86.53,8,95,223.80,0.13,162,16.29,309.88,NW
36,1132016-23561,1,41116,4560000,39.17,-86.53,9,88,223.80,0.15,128,18.39,317.17,NW
37,1132016-235627,1,41116,4562600,39.17,-86.53,8,93,223.90,0.06,186,18.84,315.70,NW
38,1132016-235653,1,41116,4565200,39.17,-86.53,9,88,224.10,0.09,123,19.27,311.32,NW
39,1132016-235719,1,41116,4571900,39.17,-86.53,9,95,225.00,0.08,293,21.95,325.28,NW
40,1132016-235745,1,41116,4574500,39.17,-86.53,9,88,225.10,0.11,209,23.03,330.94,NNW
41,1132016-235811,1,41116,4581100,39.17,-86.53,10,83,225.60,0.02,290,23.20,331.17,NNW
42,1132016-235837,1,41116,4583700,39.17,-86.53,10,83,226.00,0.10,193,22.49,324.18,NW
43,1132016-23593,1,41116,4590300,39.17,-86.53,9,88,226.20,0.26,70,22.69,320.36,NW
44,1132016-235930,1,41116,4592900,39.17,-86.53,10,83,226.40,0.11,349,23.27,317.27,NW
45,1132016-235956,1,41116,4595500,39.17,-86.53,9,88,226.40,0.06,158,21.76,310.89,NW
46,1142016-0022,1,41116,5002100,39.17,-86.53,10,83,226.40,0.13,202,22.52,313.08,NW
47,1142016-0048,1,41116,5004700,39.17,-86.53,10,83,226.60,0.15,172,21.18,314.39,NW
48,1142016-0114,1,41116,5011300,39.17,-86.53,10,83,226.80,0.05,34,22.27,317.19,NW
49,1142016-0140,1,41116,5013900,39.17,-86.53,10,83,226.80,0.08,223,21.58,326.72,NNW
50,1142016-026,1,41116,5020500,39.17,-86.53,9,85,226.80,0.14,231,23.35,336.77,NNW
51,1142016-0232,1,41116,5023100,39.16,-86.53,8,90,226.80,0.19,234,25.77,340.62,NNW
52,1142016-0258,1,41116,5025700,39.16,-86.53,8,90,227.00,0.13,291,26.10,342.39,NNW
53,1142016-0324,1,41116,5032300,39.17,-86.53,10,87,227.50,0.09,342,22.66,336.01,NNW
54,1142016-0350,1,41116,5034900,39.17,-86.53,9,88,227.60,0.06,83,21.40,332.54,NNW
55,1142016-0416,1,41116,5041500,39.17,-86.53,9,88,227.80,0.05,2,21.88,331.24,NNW
56,1142016-0442,1,41116,5044100,39.17,-86.53,9,88,228.00,0.05,22,21.05,330.00,NNW
57,1142016-058,1,41116,5050700,39.17,-86.53,9,88,228.30,0.08,281,20.26,332.96,NNW
58,1142016-0534,1,41116,5053300,39.17,-86.53,9,88,228.40,0.14,283,20.26,332.96,NNW
59,1142016-061,1,41116,5055900,39.17,-86.53,7,109,228.80,0.05,329,19.00,335.45,NNW
60,1142016-0627,1,41116,5062500,39.17,-86.53,9,88,228.70,0.04,90,17.60,330.93,NNW
61,1142016-0653,1,41116,5065200,39.17,-86.53,8,94,228.70,0.02,60,17.93,329.09,NNW
62,1142016-0719,1,41116,5071800,39.17,-86.53,8,100,228.70,0.11,78,17.87,323.90,NW
63,1142016-0745,1,41116,5074400,39.17,-86.53,9,88,228.80,0.08,250,16.71,323.80,NW
64,1142016-0811,1,41116,5081000,39.17,-86.53,9,88,228.80,0.11,292,16.86,324.18,NW
65,1142016-0837,1,41116,5083600,39.17,-86.53,8,98,228.80,0.06,139,17.44,328.13,NNW
66,1142016-093,1,41116,5090200,39.17,-86.53,8,98,228.90,0.07,156,17.60,330.93,NNW
67,1142016-0929,1,41116,5092800,39.17,-86.53,8,98,228.90,0.10,254,16.73,336.84,NNW
68,1142016-0955,1,41116,5095400,39.17,-86.53,8,98,229.00,0.05,192,16.48,338.95,NNW
69,1142016-01021,1,41116,5102000,39.17,-86.53,8,98,229.10,0.13,73,15.95,338.21,NNW
70,1142016-01047,1,41116,5104600,39.17,-86.53,8,98,229.10,0.09,11,16.49,333.96,NNW
71,1142016-01113,1,41116,5111200,39.17,-86.53,8,98,229.10,0.06,77,18.44,314.46,NW
72,1142016-01139,1,41116,5113800,39.17,-86.53,9,88,228.80,0.10,166,21.10,319.11,NW
73,1142016-0126,1,41116,5120400,39.17,-86.53,8,98,228.90,0.09,343,20.95,325.58,NW
74,1142016-01232,1,41116,5123000,39.17,-86.53,8,98,228.80,0.03,342,18.28,327.32,NNW
75,1142016-01258,1,41116,5125600,39.17,-86.53,8,97,228.90,0.21,86,18.95,318.73,NW
76,1142016-01324,1,41116,5132200,39.17,-86.53,8,97,229.50,0.07,187,20.24,319.46,NW
77,1142016-01350,1,41116,5134800,39.17,-86.53,8,97,229.50,0.05,118,21.18,323.82,NW
78,1142016-01416,1,41116,5141400,39.17,-86.53,8,97,229.60,0.08,112,21.98,321.05,NW
79,1142016-01442,1,41116,5144000,39.17,-86.53,8,97,229.70,0.15,78,22.05,314.25,NW
80,1142016-0158,1,41116,5150600,39.17,-86.53,9,89,229.70,0.23,220,22.83,318.48,NW
81,1142016-01534,1,41116,5153300,39.17,-86.53,8,97,229.60,0.14,159,23.19,329.30,NNW
82,1142016-0160,1,41116,5155900,39.17,-86.53,7,108,229.60,0.28,325,22.55,332.17,NNW
83,1142016-01626,1,41116,5162500,39.17,-86.53,7,108,229.60,0.11,28,19.28,333.67,NNW
84,1142016-01652,1,41116,5165100,39.17,-86.53,7,108,229.70,0.11,300,18.28,327.32,NNW
85,1142016-01718,1,41116,5171700,39.17,-86.53,8,101,229.80,0.12,151,17.87,323.90,NW
86,1142016-01744,1,41116,5174300,39.17,-86.53,7,108,230.70,0.12,145,21.57,322.41,NW
87,1142016-01811,1,41116,5180900,39.17,-86.53,8,97,230.60,0.20,139,23.49,323.96,NW
88,1142016-01837,1,41116,5183500,39.17,-86.53,9,89,230.60,0.05,186,25.19,323.07,NW
89,1142016-0193,1,41116,5190100,39.17,-86.53,8,97,230.30,0.04,109,23.86,316.42,NW
90,1142016-01929,1,41116,5192700,39.17,-86.53,8,97,230.70,0.05,268,22.05,314.25,NW
91,1142016-01955,1,41116,5195300,39.17,-86.53,7,108,230.70,0.06,219,22.27,317.19,NW
92,1142016-02021,1,41116,5201900,39.17,-86.53,7,108,230.60,0.19,226,23.27,317.27,NW
93,1142016-02047,1,41116,5204500,39.17,-86.53,7,109,230.50,0.05,354,22.54,320.05,NW
94,1142016-02113,1,41116,5211100,39.17,-86.53,7,108,229.70,0.20,176,20.24,319.46,NW
